Variable_Mnemonic,Classification_Mnemonic,Id,Category_Code,Internal_Category_Label_English,External_Category_Label_English,External_Category_Label_Welsh,Sort_Order,Version
Occupation,Occupation,1,1,"Managers, Directors and Senior Officials",,"Rheolwyr, Cyfarwyddwyr ac Uwch Swyddogion",,1
Occupation,Occupation,2,2,Professional Occupations,,Galwedigaethau Proffesiynol,,1
Occupation,Occupation,3,3,Associate Professional and Technical Occupations,,Galwedigaethau Proffesiynol a Thechnegol Cysylltiol,,1
Occupation,Occupation,4,4,Administrative and Secretarial Occupations,,Galwedigaethau Gweinyddol ac Ysgrifenyddol,,1
Occupation,Occupation,5,5,Skilled Trades Occupations,,Galwedigaethau Crefftau Sgiliau,,1
Occupation,Occupation,6,6,"Caring, Leisure and Other Service Occupations",,"Galwedigaethau Gofalu, Hamdden a Gwasanaethau Eraill",,1
Occupation,Occupation,7,7,Sales and Customer Service Occupations,,Galwedigaethau Gwerthu a Gwasanaeth Cwsmeriaid,,1
Occupation,Occupation,8,8,"Process, Plant and Machine Operatives",,"Gweithredwyr Prosesau, Peiriannau a Pheiriannau",,1
Occupation,Occupation,9,9,Elementary Occupations,,Galwedigaethau Elfennol,,1
Occupation,Occupation,10,-9,N/A,,N/A,,1
Family Composition,Family Composition,11,1,Not in a family,,Ddim mewn teulu,,1
Family Composition,Family Composition,12,2,Married/same-sex civil partnership couple family,,Teulu pâr partneriaeth sifil priodi/o'r un rhyw,,1
Family Composition,Family Composition,13,3,Cohabiting couple family,,Teulu cwpl sy'n cyd-fyw,,1
Family Composition,Family Composition,14,4,Lone parent family (male head),,Teulu un rhiant (pen gwrywaidd),,1
Family Composition,Family Composition,15,5,Lone parent family (female head),,Teulu un rhiant (pen benywaidd),,1
Family Composition,Family Composition,16,6,Other related family,,Teulu cysylltiedig eraill,,1
Family Composition,Family Composition,17,-9,N/A,,N/A,,1
Economic Activity,Economic Activity,18,1,Economically active: Employee,,Economaidd weithgar: Gweithiwr,,1
Economic Activity,Economic Activity,19,2,Economically active: Self-employed,,Economaidd weithgar: Hunangyflogedig,,1
Economic Activity,Economic Activity,20,3,Economically active: Unemployed,,Economaidd weithgar: Di-waith,,1
Economic Activity,Economic Activity,21,4,Economically active: Full-time student,,Egnïol yn economaidd: Myfyriwr amser llawn,,1
Economic Activity,Economic Activity,22,5,Economically inactive: Retired,,Economaidd anweithgar: Wedi ymddeol,,1
Economic Activity,Economic Activity,23,6,Economically inactive: Student,,Economaidd anweithgar: Myfyriwr,,1
Economic Activity,Economic Activity,24,7,Economically inactive: Looking after home or family,,Economaidd anweithgar: Gofalu am gartref neu deulu,,1
Economic Activity,Economic Activity,25,8,Economically inactive: Long-term sick or disabled,,Yn economaidd anweithgar: Salwch neu anabl yn y tymor hir,,1
Economic Activity,Economic Activity,26,9,Economically inactive: Other,,Economaidd anweithgar: Arall,,1
Economic Activity,Economic Activity,27,-9,N/A,,N/A,,1
Ethnic Group,Ethnic Group,28,1,White,,Gwyn,,1
Ethnic Group,Ethnic Group,29,2,Mixed,,Cymysg,,1
Ethnic Group,Ethnic Group,30,3,Asian and Asian British,,Asiaidd ac Asiaidd Prydeinig,,1
